CHR	Length	shiftLength
1	249250621	0
2	243199373	249250621	
3	198022430	243199373
4	191154276	198022430
5	180915260	191154276
6	171115067	180915260
7	159138663	171115067
8	146364022	159138663
9	141213431	146364022
10	135534747	141213431
11	135006516	135534747
12	133851895	135006516
13	115169878	133851895
14	107349540	115169878
15	102531392	107349540
16	90354753	102531392
17	81195210	90354753
18	78077248	81195210
19	59128983	78077248
20	63025520	59128983
21	48129895	63025520
22	51304566	48129895
X	155270560	51304566
Y	59373566	155270560
